sample,token_idx,token,context,true,pred,category
28,345,),> ta ##t ) that results in,I-SequenceVariant,O,false_negative
29,24,h,carriers . the h ##h g ##eno,O,B-GeneOrGeneProduct,false_positive
30,5,meta,##gel ##in increases meta ##static potential of,O,B-DiseaseOrPhenotypicFeature,false_positive
30,126,meta,to changes in meta ##static potential in,O,B-DiseaseOrPhenotypicFeature,false_positive
30,171,meta,##ay of experimental meta ##sta ##sis .,O,B-DiseaseOrPhenotypicFeature,false_positive
30,341,c,##in or other c ##yt ##os ##kel,B-GeneOrGeneProduct,O,false_negative
30,346,proteins,##os ##kel ##etal proteins . changes included,I-GeneOrGeneProduct,O,false_negative
30,415,meta,higher expression promoting meta ##sta ##sis .,O,B-DiseaseOrPhenotypicFeature,false_positive
30,434,meta,##rna ##s for meta ##sta ##sis -,O,B-DiseaseOrPhenotypicFeature,false_positive
31,3,s,[CLS] association of s ##poradic ch ##ond,B-DiseaseOrPhenotypicFeature,O,false_negative
31,5,ch,of s ##poradic ch ##ond ##ro ##cal,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
31,13,-,##osis with a - 4 - base,B-SequenceVariant,O,false_negative
31,14,4,with a - 4 - base ##pair,I-SequenceVariant,O,false_negative
31,16,base,- 4 - base ##pair g -,I-SequenceVariant,O,false_negative
31,18,g,- base ##pair g - to -,I-SequenceVariant,B-SequenceVariant,boundary
31,102,auto,are linked to auto ##so ##mal -,B-DiseaseOrPhenotypicFeature,O,false_negative
31,105,-,auto ##so ##mal - dominant f ##ami,I-DiseaseOrPhenotypicFeature,O,false_negative
31,106,dominant,##so ##mal - dominant f ##ami ##lial,I-DiseaseOrPhenotypicFeature,O,false_negative
31,107,f,##mal - dominant f ##ami ##lial ch,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
31,233,s,. results : s ##poradic ch ##ond,B-DiseaseOrPhenotypicFeature,O,false_negative
31,235,ch,: s ##poradic ch ##ond ##ro ##cal,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
31,250,transition,to - a transition in the an,O,I-SequenceVariant,false_positive
31,322,-,) . this - 4 - b,O,B-SequenceVariant,false_positive
31,323,4,. this - 4 - b ##p,O,I-SequenceVariant,false_positive
31,324,-,this - 4 - b ##p transition,O,I-SequenceVariant,false_positive
31,325,b,"- 4 - b ##p transition ,",O,I-SequenceVariant,false_positive
31,337,f,previously linked with f ##ami ##lial and,B-DiseaseOrPhenotypicFeature,O,false_negative
31,340,and,f ##ami ##lial and s ##poradic ch,I-DiseaseOrPhenotypicFeature,O,false_negative
31,341,s,##ami ##lial and s ##poradic ch ##ond,I-DiseaseOrPhenotypicFeature,O,false_negative
31,343,ch,and s ##poradic ch ##ond ##ro ##cal,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
31,354,c,14 b ##p c - to -,I-SequenceVariant,B-SequenceVariant,boundary
31,363,gag,c - terminal gag del ##eti ##on,B-SequenceVariant,I-SequenceVariant,boundary
31,434,4,and the - 4 - b ##p,O,I-SequenceVariant,false_positive
31,435,-,the - 4 - b ##p an,O,I-SequenceVariant,false_positive
31,436,b,- 4 - b ##p an ##kh,O,I-SequenceVariant,false_positive
31,481,h,##ro ##cy ##te h ##yper ##tro ##phy,B-DiseaseOrPhenotypicFeature,O,false_negative
31,498,s,a subset of s ##poradic ch ##ond,B-DiseaseOrPhenotypicFeature,O,false_negative
31,500,ch,of s ##poradic ch ##ond ##ro ##cal,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
32,356,ne,##le patients with ne ##uro ##log ##ic,O,B-DiseaseOrPhenotypicFeature,false_positive
33,75,r,##ne response to r ##s ##v infection,B-DiseaseOrPhenotypicFeature,B-OrganismTaxon,wrong_type
33,78,infection,"r ##s ##v infection , the regulation",I-DiseaseOrPhenotypicFeature,O,false_negative
33,131,sa,##hel ##ial ( sa ##e ) cells,B-CellLine,O,false_negative
33,239,r,animals prior to r ##s ##v infection,B-DiseaseOrPhenotypicFeature,B-OrganismTaxon,wrong_type
33,242,infection,r ##s ##v infection . results and,I-DiseaseOrPhenotypicFeature,O,false_negative
33,248,r,and discussion : r ##s ##v -,B-DiseaseOrPhenotypicFeature,B-OrganismTaxon,wrong_type
33,251,-,r ##s ##v - infected a ##5,I-DiseaseOrPhenotypicFeature,O,false_negative
33,252,infected,##s ##v - infected a ##5 ##4,I-DiseaseOrPhenotypicFeature,O,false_negative
33,258,sa,##4 ##9 and sa ##e cells release,B-CellLine,O,false_negative
34,82,in,s ##wed ##ish in ##patient register a,B-OrganismTaxon,O,false_negative
35,76,and,##c ##1 ) and 2 ( p,O,I-GeneOrGeneProduct,false_positive
35,77,2,##1 ) and 2 ( p ##c,O,I-GeneOrGeneProduct,false_positive
35,90,inherited,the most commonly inherited re ##nal diseases,O,B-DiseaseOrPhenotypicFeature,false_positive
35,191,to,##yla ##lani ##ne to the polar h,I-SequenceVariant,O,false_negative
35,192,the,##lani ##ne to the polar h ##ydro,I-SequenceVariant,O,false_negative
35,193,polar,##ne to the polar h ##ydro ##phi,I-SequenceVariant,O,false_negative
35,194,h,to the polar h ##ydro ##phi ##lic,I-SequenceVariant,O,false_negative
35,202,in,##ys ##tein ##e in ex ##on 6,I-SequenceVariant,O,false_negative
35,203,ex,##tein ##e in ex ##on 6 at,I-SequenceVariant,O,false_negative
35,205,6,in ex ##on 6 at co ##don,I-SequenceVariant,O,false_negative
35,206,at,ex ##on 6 at co ##don 48,I-SequenceVariant,O,false_negative
35,207,co,##on 6 at co ##don 48 ##2,I-SequenceVariant,O,false_negative
35,246,-,##v ##s ##21 - 2d ##ela ##g,I-SequenceVariant,O,false_negative
35,247,2d,##s ##21 - 2d ##ela ##g .,I-SequenceVariant,O,false_negative
36,10,subunit,##sh - beta subunit gene underlying con,O,I-GeneOrGeneProduct,false_positive
36,31,t,neon ##ata ##l t ##sh screening .,B-GeneOrGeneProduct,O,false_negative
36,43,subunit,##sh - beta subunit defects and con,O,I-GeneOrGeneProduct,false_positive
36,44,defects,- beta subunit defects and con ##gen,O,I-DiseaseOrPhenotypicFeature,false_positive
36,58,t,are missed by t ##sh - based,B-GeneOrGeneProduct,O,false_negative
36,98,subunit,##sh - beta subunit gene found in,O,I-GeneOrGeneProduct,false_positive
36,137,n,g to a n ##uc ##leo ##tide,O,I-SequenceVariant,false_positive
36,141,change,##uc ##leo ##tide change at the 5,O,I-SequenceVariant,false_positive
36,324,and,pit ##uit ##ary and place ##ntal g,O,I-GeneOrGeneProduct,false_positive
36,325,place,##uit ##ary and place ##ntal g ##ly,O,I-GeneOrGeneProduct,false_positive
36,327,g,and place ##ntal g ##ly ##co ##p,B-GeneOrGeneProduct,I-GeneOrGeneProduct,boundary
36,406,isolated,for diagnosis of isolated pit ##uit ##ary,B-DiseaseOrPhenotypicFeature,O,false_negative
36,407,pit,diagnosis of isolated pit ##uit ##ary deficiency,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
37,64,nor,"##tina ##l diseases nor ##rie disease ,",I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
37,433,pre,"birth ##weight , pre ##mat ##urity and",B-DiseaseOrPhenotypicFeature,O,false_negative
37,439,oxygen,and exposure to oxygen . in full,B-ChemicalEntity,O,false_negative
38,1,growth,[CLS] growth hormone dose in,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,2,hormone,[CLS] growth hormone dose in growth,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
38,10,adults,- def ##icient adults is not associated,O,B-OrganismTaxon,false_positive
38,43,-,##yt ##os ##ine - ad ##eni ##ne,O,I-SequenceVariant,false_positive
38,44,ad,##os ##ine - ad ##eni ##ne repeat,O,I-SequenceVariant,false_positive
38,94,growth,different response to growth hormone ( g,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,95,hormone,response to growth hormone ( g ##h,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
38,97,g,growth hormone ( g ##h ) treatment,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,107,g,different individually required g ##h - doses,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,144,g,associated with the g ##h - dose,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,154,adults,- def ##icient adults . materials &,O,B-OrganismTaxon,false_positive
38,182,-,##yt ##os ##ine - ad ##eni ##ne,O,I-SequenceVariant,false_positive
38,183,ad,##os ##ine - ad ##eni ##ne repeat,O,I-SequenceVariant,false_positive
38,265,g,. patients received g ##h - treatment,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,280,g,##it ##ration of g ##h and centralized,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,291,g,1 measurements . g ##h - dose,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,330,g,- 1 : g ##h ratio and,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,395,g,associations with the g ##h - doses,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,422,g,- 1 : g ##h ratio after,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,467,g,ex ##ogen ##ous g ##h in g,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,498,g,factors of the g ##h - i,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
38,504,-,i ##g ##f - axis causing variable,O,I-GeneOrGeneProduct,false_positive
39,160,children,gene . eighteen children with d ##s,O,B-OrganismTaxon,false_positive
39,179,d,l be ##ck d ##s ##d database,B-DiseaseOrPhenotypicFeature,O,false_negative
39,248,du,controls : a du ##plication of g,B-SequenceVariant,O,false_negative
39,250,of,a du ##plication of g ##cc (,I-SequenceVariant,O,false_negative
39,251,g,du ##plication of g ##cc ( c,I-SequenceVariant,B-SequenceVariant,boundary
39,259,[,97 ##g ##cc [ 9 ] +,I-SequenceVariant,O,false_negative
39,260,9,##g ##cc [ 9 ] + [,I-SequenceVariant,O,false_negative
39,261,],##cc [ 9 ] + [ 10,I-SequenceVariant,O,false_negative
39,262,+,[ 9 ] + [ 10 ],I-SequenceVariant,O,false_negative
39,263,[,9 ] + [ 10 ] ),I-SequenceVariant,O,false_negative
39,264,10,] + [ 10 ] ) resulting,I-SequenceVariant,O,false_negative
39,265,],+ [ 10 ] ) resulting in,I-SequenceVariant,O,false_negative
39,437,disturbance,to the observed disturbance ##s in g,O,B-DiseaseOrPhenotypicFeature,false_positive
39,439,in,observed disturbance ##s in g ##eni ##tal,O,I-DiseaseOrPhenotypicFeature,false_positive
39,443,and,g ##eni ##tal and p ##ala ##te,O,I-DiseaseOrPhenotypicFeature,false_positive
39,444,p,##eni ##tal and p ##ala ##te development,O,I-DiseaseOrPhenotypicFeature,false_positive
40,58,mi,##ds ) ( mi ##m # 1300,B-DiseaseOrPhenotypicFeature,O,false_negative
40,60,#,( mi ##m # 1300 ##50 ),I-DiseaseOrPhenotypicFeature,O,false_negative
40,61,1300,mi ##m # 1300 ##50 ) is,I-DiseaseOrPhenotypicFeature,O,false_negative
40,369,g,"##25 ##5 : g > a ,",B-SequenceVariant,I-SequenceVariant,boundary
40,380,t,"##18 ##4 : t > c ,",B-SequenceVariant,I-SequenceVariant,boundary
41,26,ne,is ##che ##mic ne ##uron ##al injury,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
41,45,(,is ##che ##mic ( hi ) injury,I-DiseaseOrPhenotypicFeature,O,false_negative
41,46,hi,##che ##mic ( hi ) injury leading,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
41,47,),##mic ( hi ) injury leading to,I-DiseaseOrPhenotypicFeature,O,false_negative
41,89,long,##al protein of long - pen ##tra,O,B-GeneOrGeneProduct,false_positive
41,90,-,protein of long - pen ##tra ##xin,O,I-GeneOrGeneProduct,false_positive
41,91,pen,of long - pen ##tra ##xin family,O,I-GeneOrGeneProduct,false_positive
41,98,ne,", following hi ne ##uron ##al injury",I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
41,119,ne,cause the hi ne ##uron ##al death,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
41,162,glucose,exposure to oxygen glucose de ##p ##ri,B-ChemicalEntity,I-ChemicalEntity,boundary
41,168,og,"##ri ##vation ( og ##d ) ,",O,B-ChemicalEntity,false_positive
41,189,brain,model of hi brain injury . our,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
41,228,ca,##po ##cam ##pal ca ##1 and ca,B-GeneOrGeneProduct,O,false_negative
41,231,ca,ca ##1 and ca ##3 regions at,B-GeneOrGeneProduct,O,false_negative
41,260,og,activity concurrent with og ##d time -,O,B-ChemicalEntity,false_positive
41,281,se,a ##kt ( se ##r ##47 ##3,B-SequenceVariant,O,false_negative
41,293,se,3 ##b ( se ##r ##9 ),B-SequenceVariant,O,false_negative
41,317,se,of bad ( se ##r ##13 ##6,B-SequenceVariant,O,false_negative
41,373,c,increased release of c ##yt c from,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
41,375,c,of c ##yt c from mit ##och,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
41,461,c,mitochondrial release of c ##yt ##och ##rome,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
41,465,c,##yt ##och ##rome c ( c ##yt,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
41,467,c,##rome c ( c ##yt c ),B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
41,469,c,( c ##yt c ) into the,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
41,486,og,- 3 and og ##d time -,O,B-ChemicalEntity,false_positive
41,491,cell,time - dependent cell death in w,O,B-DiseaseOrPhenotypicFeature,false_positive
42,8,ne,##ctive effect of ne ##uro ##ser ##pin,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,15,glucose,in oxygen - glucose de ##p ##ri,B-ChemicalEntity,I-ChemicalEntity,boundary
42,39,ne,##it ##ro . ne ##uro ##ser ##pin,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,44,n,##ser ##pin ( n ##sp ) reportedly,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,89,n,##ctive effects of n ##sp on as,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,156,n,"##ctive effects of n ##sp , we",B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,167,la,"rate , relative la ##ct ##ate de",B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,170,de,la ##ct ##ate de ##hy ##dr ##ogen,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
42,176,l,##ogen ##ase ( l ##dh ) release,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,190,ho,"methods , namely ho ##ech ##st 333",O,B-ChemicalEntity,false_positive
42,193,333,ho ##ech ##st 333 ##42 stain ##ing,O,I-ChemicalEntity,false_positive
42,211,n,"potential mechanisms of n ##sp , the",B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,231,n,alpha related to n ##sp administration were,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,328,n,the effects of n ##sp - induced,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,341,n,we found that n ##sp significantly increased,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,351,l,rate and reduced l ##dh release in,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,388,p,protein levels of p - i ##k,O,B-GeneOrGeneProduct,false_positive
42,389,-,levels of p - i ##k ##k,O,I-GeneOrGeneProduct,false_positive
42,421,n,##hibit ##ed by n ##sp administration .,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,426,n,administration . the n ##sp - induced,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,494,n,were unchanged by n ##sp administration .,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
42,510,n,##ctive effects of n [SEP],B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
43,85,and,are with inflammatory and metabolism ##s abnormal,O,I-DiseaseOrPhenotypicFeature,false_positive
43,86,metabolism,with inflammatory and metabolism ##s abnormal ##ities,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
43,104,-,il - 65 - 72 ##c /,B-SequenceVariant,I-SequenceVariant,boundary
43,452,h,in serum ( h ##s - c,O,B-GeneOrGeneProduct,false_positive
43,454,-,"( h ##s - c ##rp ,",O,I-GeneOrGeneProduct,false_positive
43,455,c,"h ##s - c ##rp , il",B-GeneOrGeneProduct,I-GeneOrGeneProduct,boundary
44,46,auto,is an uncommon auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
44,49,dominant,auto ##so ##mal dominant chronic k ##era,O,I-DiseaseOrPhenotypicFeature,false_positive
44,50,chronic,##so ##mal dominant chronic k ##era ##tin,O,B-DiseaseOrPhenotypicFeature,false_positive
44,51,k,##mal dominant chronic k ##era ##tin ##ization,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
44,61,k,by multiple superficial k ##era ##to ##tic,B-DiseaseOrPhenotypicFeature,O,false_negative
44,65,lesions,##era ##to ##tic lesions surrounded by a,I-DiseaseOrPhenotypicFeature,O,false_negative
45,121,leg,"##c ##l , leg type ( n",O,B-DiseaseOrPhenotypicFeature,false_positive
45,143,cancer,and treatment of cancer ( e ##ort,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
45,264,leg,"##c ##l , leg type , most",O,B-DiseaseOrPhenotypicFeature,false_positive
45,382,leg,"##c ##l , leg type , but",O,B-DiseaseOrPhenotypicFeature,false_positive
45,426,leg,"##c ##l , leg type , patient",O,B-DiseaseOrPhenotypicFeature,false_positive
45,471,leg,"##c ##l , leg type , patients",O,B-DiseaseOrPhenotypicFeature,false_positive
46,68,trauma,##s with minimal trauma . in ##tra,B-DiseaseOrPhenotypicFeature,O,false_negative
46,204,chain,i alpha 2 chain . these observations,O,I-GeneOrGeneProduct,false_positive
46,223,chain,i alpha 2 chain carry a high,O,I-GeneOrGeneProduct,false_positive
46,229,abnormal,high risk of abnormal limb development and,B-DiseaseOrPhenotypicFeature,O,false_negative
46,230,limb,risk of abnormal limb development and in,I-DiseaseOrPhenotypicFeature,O,false_negative
47,39,ha,##che ##mic and ha ##em ##or ##r,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
47,84,drug,cocaine use . drug - related g,O,B-ChemicalEntity,false_positive
48,32,fi,##no ##gen to fi ##bri ##n plays,B-GeneOrGeneProduct,O,false_negative
48,50,fi,##ilization of the fi ##bri ##n c,B-GeneOrGeneProduct,O,false_negative
48,262,cc,pad patients ( cc : 57 .,O,B-DiseaseOrPhenotypicFeature,false_positive
48,337,art,", diabetes , art ##erial h ##yper",O,B-DiseaseOrPhenotypicFeature,false_positive
48,339,h,", art ##erial h ##yper ##tens ##ion",B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
48,422,th,conclude that the th ##rom ##bo ##phi,O,B-DiseaseOrPhenotypicFeature,false_positive
49,30,he,region of the he ##pa ##titis c,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
49,33,c,he ##pa ##titis c virus are de,I-OrganismTaxon,I-DiseaseOrPhenotypicFeature,wrong_type
49,95,p,the response to p ##eg ##yla ##ted,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
49,99,inter,##eg ##yla ##ted inter ##fer ##on plus,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,107,p,##avi ##rin ( p ##eg - if,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
49,109,-,( p ##eg - if ##n /,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,110,if,p ##eg - if ##n / r,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,174,p,the efficacy of p ##eg - if,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
49,176,-,of p ##eg - if ##n /,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,177,if,p ##eg - if ##n / r,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,193,g,h ##c ##v g ##eno ##type 1,I-DiseaseOrPhenotypicFeature,O,false_negative
49,227,p,the efficacy of p ##eg - if,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
49,229,-,of p ##eg - if ##n /,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,230,if,p ##eg - if ##n / r,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
49,275,a,that both the a ##a 70 substitution,O,B-SequenceVariant,false_positive
49,277,70,the a ##a 70 substitution in the,O,I-SequenceVariant,false_positive
49,321,-,100 and low - density lip ##op,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
49,323,lip,low - density lip ##op ##rote ##in,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
49,327,(,##op ##rote ##in ( l ##dl ),I-ChemicalEntity,O,false_negative
49,328,l,##rote ##in ( l ##dl ) ch,I-ChemicalEntity,B-ChemicalEntity,boundary
49,330,),( l ##dl ) ch ##ole ##ster,I-ChemicalEntity,O,false_negative
49,483,inter,end ##ogen ##ous inter ##fer ##on response,O,B-ChemicalEntity,false_positive
49,488,h,##on response to h ##c ##v in,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
50,62,lip,##esi ##ze the lip ##id p ##hos,B-ChemicalEntity,O,false_negative
50,157,act,##na led to act ##in re ##mo,B-GeneOrGeneProduct,O,false_negative
50,410,invasion,suppress ##or of invasion . we propose,O,B-DiseaseOrPhenotypicFeature,false_positive
51,22,/,a ##p ##c / cc ##dh ##1,I-GeneOrGeneProduct,O,false_negative
51,23,cc,##p ##c / cc ##dh ##1 -,I-GeneOrGeneProduct,B-GeneOrGeneProduct,boundary
51,117,m,##en ##ph by m ##or ##ph ##olin,B-ChemicalEntity,O,false_negative
51,143,(,- promoting factor ( m ##pf ),O,I-GeneOrGeneProduct,false_positive
51,181,(,##c / c ( c ##dh ##1,O,I-GeneOrGeneProduct,false_positive
51,182,c,/ c ( c ##dh ##1 ),B-GeneOrGeneProduct,I-GeneOrGeneProduct,boundary
51,272,c,##p ##c / c ( c ##dh,I-GeneOrGeneProduct,B-GeneOrGeneProduct,boundary
51,273,(,##c / c ( c ##dh ##1,O,I-GeneOrGeneProduct,false_positive
51,274,c,/ c ( c ##dh ##1 ),B-GeneOrGeneProduct,I-GeneOrGeneProduct,boundary
52,19,dominant,auto ##so ##mal dominant con ##gen ##ital,I-DiseaseOrPhenotypicFeature,O,false_negative
52,20,con,##so ##mal dominant con ##gen ##ital nuclear,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
52,39,genetic,to identify the genetic defect leading to,B-DiseaseOrPhenotypicFeature,O,false_negative
52,40,defect,identify the genetic defect leading to the,I-DiseaseOrPhenotypicFeature,O,false_negative
52,103,cat,##sco ##py after cat ##ara ##ct extraction,B-DiseaseOrPhenotypicFeature,O,false_negative
52,168,nuclear,con ##gen ##ital nuclear la ##ct ##es,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
52,191,d,d ##na marker d ##17 ##s ##18,O,B-SequenceVariant,false_positive
52,234,3,in - frame 3 - b ##p,B-SequenceVariant,O,false_negative
52,235,-,- frame 3 - b ##p del,I-SequenceVariant,O,false_negative
52,236,b,frame 3 - b ##p del ##eti,I-SequenceVariant,O,false_negative
52,238,del,- b ##p del ##eti ##on in,I-SequenceVariant,O,false_negative
52,332,auto,associated with an auto ##so ##mal dominant,B-DiseaseOrPhenotypicFeature,O,false_negative
52,335,dominant,auto ##so ##mal dominant con ##gen ##ital,I-DiseaseOrPhenotypicFeature,O,false_negative
52,336,con,##so ##mal dominant con ##gen ##ital nuclear,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
52,354,i,##lice mutation ( i ##v ##s ##3,B-SequenceVariant,B-GeneOrGeneProduct,wrong_type
52,379,su,##ara ##ct with su ##tura ##l op,O,B-DiseaseOrPhenotypicFeature,false_positive
52,382,op,su ##tura ##l op ##ac ##ities .,O,I-DiseaseOrPhenotypicFeature,false_positive
53,17,auto,##a - 2 auto ##anti ##bo ##dies,O,I-DiseaseOrPhenotypicFeature,false_positive
53,108,co,##c acid in co ##don 41 ##6,I-SequenceVariant,O,false_negative
53,299,as,frequencies of the as ##p / g,O,B-SequenceVariant,false_positive
53,305,g,g ##lu and g ##lu / g,O,B-SequenceVariant,false_positive
53,342,g,d ##b ##p g ##lu - containing,O,B-SequenceVariant,false_positive
55,21,p,c patient during p ##eg ##yla ##ted,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
55,25,inter,##eg ##yla ##ted inter ##fer ##on alpha,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,28,alpha,inter ##fer ##on alpha - 2 ##b,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,29,-,##fer ##on alpha - 2 ##b and,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,30,2,##on alpha - 2 ##b and rib,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,48,inter,c patients with inter ##fer ##on and,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
55,104,inter,##tosis occurring during inter ##fer ##on therapy,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
55,136,p,during treatment with p ##eg ##yla ##ted,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
55,140,inter,##eg ##yla ##ted inter ##fer ##on alpha,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,143,alpha,inter ##fer ##on alpha - 2 ##b,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,144,-,##fer ##on alpha - 2 ##b weekly,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,145,2,##on alpha - 2 ##b weekly and,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,157,parasite,complained of seeing parasite ##s and the,O,B-DiseaseOrPhenotypicFeature,false_positive
55,186,p,disappeared after stopping p ##eg ##yla ##ted,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
55,190,inter,##eg ##yla ##ted inter ##fer ##on alpha,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,193,alpha,inter ##fer ##on alpha - 2 ##b,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,194,-,##fer ##on alpha - 2 ##b and,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
55,195,2,##on alpha - 2 ##b and reappeared,I-GeneOrGeneProduct,I-ChemicalEntity,wrong_type
56,3,trap,[CLS] protein - trap insertion ##al m,B-GeneOrGeneProduct,O,false_negative
56,124,z,re ##rio ( z ##eb ##ra ##fish,B-OrganismTaxon,O,false_negative
56,306,/,er ##bb ##2 / 3 - a,I-GeneOrGeneProduct,O,false_negative
56,450,e,##down of the e ##pit ##hel ##ial,O,B-GeneOrGeneProduct,false_positive
57,62,web,disorders characterized by web ##bing ( p,O,B-DiseaseOrPhenotypicFeature,false_positive
57,65,p,web ##bing ( p ##tery ##gia ),O,B-DiseaseOrPhenotypicFeature,false_positive
57,69,of,"##tery ##gia ) of the neck ,",O,I-DiseaseOrPhenotypicFeature,false_positive
57,70,the,"##gia ) of the neck , elbows",O,I-DiseaseOrPhenotypicFeature,false_positive
57,71,neck,") of the neck , elbows ,",O,I-DiseaseOrPhenotypicFeature,false_positive
